id,field,year,difficulty,question,choice1,choice2,choice3,choice4,answer,explanation,source_url
R5QESTIONANSWER_Q12,権利関係,R5,2,令和5 年7 月1 日に締結された建物の賃貸借契約（定期建物賃貸借契約及び一時 使用目的の建物の賃貸借契約を除く。）に関する次の記述のうち、民法及び借地借家法の規定 並びに判例によれば、正しいものはどれか。,期間を1 年未満とする建物の賃貸借契約は、期間を1 年とするものとみなされる。,当事者間において、一定の期間は建物の賃料を減額しない旨の特約がある場合、現行賃料 が不相当になったなどの事情が生じたとしても、この特約は有効である。,賃借人が建物の引渡しを受けている場合において、当該建物の賃貸人が当該建物を譲渡す るに当たり、当該建物の譲渡人及び譲受人が、賃貸人たる地位を譲渡人に留保する旨及び当 該建物の譲受人が譲渡人に賃貸する旨の合意をしたときは、賃貸人たる地位は譲受人に移転 しない。,現行賃料が定められた時から一定の期間が経過していなければ、賃料増額請求は、認めら れない。,2,公式解答: 3,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q13,権利関係,R5,2,建物の区分所有等に関する法律（以下この問において「法」という。）に関する 次の記述のうち、誤っているものはどれか。,集会においては、法で集会の決議につき特別の定数が定められている事項を除き、規約で 別段の定めをすれば、あらかじめ通知した事項以外についても決議することができる。,集会は、区分所有者の4 分の3 以上の同意があるときは、招集の手続を経ないで開くこと ができる。,共用部分の保存行為は、規約に別段の定めがある場合を除いて、各共有者がすることがで きるため集会の決議を必要としない。,一部共用部分に関する事項で区分所有者全員の利害に関係しないものについての区分所有 者全員の規約は、当該一部共用部分を共用すべき区分所有者が8 人である場合、3 人が反対 したときは変更することができない。,1,公式解答: 2,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q14,権利関係,R5,2,不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、誤ってい るものはどれか。,建物が滅失したときは、表題部所有者又は所有権の登記名義人は、その滅失の日から1 か 月以内に、当該建物の滅失の登記を申請しなければならない。,何人も、理由の有無にかかわらず、登記官に対し、手数料を納付して、登記簿の附属書類 である申請書を閲覧することができる。,共有物分割禁止の定めに係る権利の変更の登記の申請は、当該権利の共有者である全ての 登記名義人が共同してしなければならない。,区分建物の所有権の保存の登記は、表題部所有者から所有権を取得した者も、申請するこ とができる。,1,公式解答: 2,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q15,法令上の制限,R5,2,都市計画法に関する次の記述のうち、正しいものはどれか。,市街化調整区域は、土地利用を整序し、又は環境を保全するための措置を講ずることなく 放置すれば、将来における一体の都市としての整備に支障が生じるおそれがある区域とされ ている。,高度利用地区は、土地の合理的かつ健全な高度利用と都市機能の更新とを図るため、都市 計画に、建築物の高さの最低限度を定める地区とされている。,特定用途制限地域は、用途地域が定められている土地の区域内において、都市計画に、制 限すべき特定の建築物等の用途の概要を定める地域とされている。,地区計画は、用途地域が定められている土地の区域のほか、一定の場合には、用途地域が 定められていない土地の区域にも定めることができる。,3,公式解答: 4,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q16,法令上の制限,R5,2,都市計画法に関する次の記述のうち、正しいものはどれか。ただし、この問にお いて条例による特別の定めはないものとし、「都道府県知事」とは、地方自治法に基づく指定 都市、中核市及び施行時特例市にあってはその長をいうものとする。,開発許可を申請しようとする者は、あらかじめ、開発行為に関係がある公共施設の管理者 と協議し、その同意を得なければならない。,開発許可を受けた者は、当該許可を受ける際に申請書に記載した事項を変更しようとする 場合においては、都道府県知事に届け出なければならないが、当該変更が国土交通省令で定 める軽微な変更に当たるときは、届け出なくてよい。,開発許可を受けた者は、当該開発行為に関する工事が完了し、都道府県知事から検査済証 を交付されたときは、遅滞なく、当該工事が完了した旨を公告しなければならない。,市街化調整区域のうち開発許可を受けた開発区域以外の区域内において、自己の居住用の 住宅を新築しようとする全ての者は、当該建築が開発行為を伴わない場合であれば、都道府 県知事の許可を受けなくてよい。,0,公式解答: 1,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q17,法令上の制限,R5,2,建築基準法に関する次の記述のうち、誤っているものはどれか。,地方公共団体は、条例で、津波、高潮、出水等による危険の著しい区域を災害危険区域と して指定し、当該区域内における住居の用に供する建築物の建築を禁止することができる。,"3 階建て以上の建築物の避難階以外の階を、床面積の合計が1,500 m2 を超える物品販売 業の店舗の売場とする場合には、当該階から避難階又は地上に通ずる2 以上の直通階段を設 けなければならない。",建築物が防火地域及び準防火地域にわたる場合、その全部について準防火地域内の建築物 に関する規定を適用する。,石綿等をあらかじめ添加した建築材料は、石綿等を飛散又は発散させるおそれがないもの として国土交通大臣が定めたもの又は国土交通大臣の認定を受けたものを除き、使用しては ならない。,2,公式解答: 3,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q18,法令上の制限,R5,2,次の記述のうち、建築基準法（以下この問において「法」という。）の規定によ れば、正しいものはどれか。,法第53 条第1 項及び第2 項の建蔽率制限に係る規定の適用については、準防火地域内に ある準耐火建築物であり、かつ、街区の角にある敷地又はこれに準ずる敷地で特定行政庁が 指定するものの内にある建築物にあっては同条第1 項各号に定める数値に10 分の2 を加え たものをもって当該各号に定める数値とする。,建築物又は敷地を造成するための擁壁は、道路内に、又は道路に突き出して建築し、又は 築造してはならず、地盤面下に設ける建築物においても同様である。,地方公共団体は、その敷地が袋路状道路にのみ接する建築物であって、延べ面積が150 m2 を超えるものについては、一戸建ての住宅であっても、条例で、その敷地が接しなければな らない道路の幅員、その敷地が道路に接する部分の長さその他その敷地又は建築物と道路と の関係に関して必要な制限を付加することができる。,冬至日において、法第56 条の2 第1 項の規定による日影規制の対象区域内の土地に日影 を生じさせるものであっても、対象区域外にある建築物であれば一律に、同項の規定は適用 されない。,0,公式解答: 1,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q19,法令上の制限,R5,2,宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、こ の問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市 にあってはその長をいうものとする。,都道府県知事は、関係市町村長の意見を聴いて、宅地造成工事規制区域内で、宅地造成に 伴う災害で相当数の居住者その他の者に危害を生ずるものの発生のおそれが大きい一団の造 成宅地の区域であって、一定の基準に該当するものを、造成宅地防災区域として指定するこ とができる。,都道府県知事は、その地方の気候、風土又は地勢の特殊性により、宅地造成等規制法の規 定のみによっては宅地造成に伴うがけ崩れ又は土砂の流出の防止の目的を達し難いと認める 場合は、都道府県（地方自治法に基づく指定都市、中核市又は施行時特例市の区域にあって は、それぞれ指定都市、中核市又は施行時特例市）の規則で、宅地造成工事規制区域内にお いて行われる宅地造成に関する工事の技術的基準を強化し、又は付加することができる。,都道府県知事は、宅地造成工事規制区域内の宅地について、宅地造成に伴う災害を防止す るために必要があると認める場合には、その宅地の所有者に対して、擁壁等の設置等の措置 をとることを勧告することができる。,宅地造成工事規制区域内の宅地において、雨水その他の地表水又は地下水を排除するため の排水施設の除却工事を行おうとする場合は、一定の場合を除き、都道府県知事への届出が 必要となる。,0,公式解答: 1,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q20,法令上の制限,R5,2,土地区画整理法に関する次の記述のうち、誤っているものはどれか。,換地計画において定められた清算金は、換地処分の公告があった日の翌日において確定す る。,現に施行されている土地区画整理事業の施行地区となっている区域については、その施行 者の同意を得なければ、その施行者以外の者は、土地区画整理事業を施行することができな い。,施行者は、換地処分の公告があった場合において、施行地区内の土地及び建物について土 地区画整理事業の施行により変動があったときは、遅滞なく、その変動に係る登記を申請し、 又は嘱託しなければならない。,土地区画整理組合は、仮換地を指定しようとする場合においては、あらかじめ、その指定 について、土地区画整理審議会の同意を得なければならない。,3,公式解答: 4,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q21,法令上の制限,R5,2,農地に関する次の記述のうち、農地法（以下この問において「法」という。）の 規定によれば、誤っているものはどれか。,相続により農地を取得する場合は、法第3 条第1 項の許可を要しないが、相続人に該当し ない者が特定遺贈により農地を取得する場合は、同項の許可を受ける必要がある。,自己の所有する面積4 アールの農地を農作物の育成又は養畜の事業のための農業用施設に 転用する場合は、法第4 条第1 項の許可を受ける必要はない。,法第3 条第1 項又は法第5 条第1 項の許可が必要な農地の売買について、これらの許可を 受けずに売買契約を締結しても、その所有権の移転の効力は生じない。,社会福祉事業を行うことを目的として設立された法人（社会福祉法人）が、農地をその目 的に係る業務の運営に必要な施設の用に供すると認められる場合、農地所有適格法人でなく ても、農業委員会の許可を得て、農地の所有権を取得することができる。,1,公式解答: 2,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q22,法令上の制限,R5,2,土地を取得する場合における届出に関する次の記述のうち、正しいものはどれか。 なお、この問において「事後届出」とは、国土利用計画法第23 条の届出をいい、「重要土地等 調査法」とは、重要施設周辺及び国境離島等における土地等の利用状況の調査及び利用の規制 等に関する法律をいうものとする。,"都市計画区域外において、国から一団の土地である6,000 m2 と5,000 m2 の土地を購入し た者は、事後届出を行う必要はない。","市街化区域を除く都市計画区域内において、Ａが所有する7,000 m2 の土地をＢが相続に より取得した場合、Ｂは事後届出を行う必要がある。","市街化区域において、Ｃが所有する3,000 m2 の土地をＤが購入する契約を締結した場合、 Ｃ及びＤは事後届出を行わなければならない。",重要土地等調査法の規定による特別注視区域内にある100 m2 の規模の土地に関する所有 権又はその取得を目的とする権利の移転をする契約を締結する場合には、当事者は、一定の 事項を、あらかじめ、内閣総理大臣に届け出なければならない。,0,公式解答: 1,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q23,税・その他,R5,2,印紙税に関する次の記述のうち、正しいものはどれか。なお、以下の契約書はい ずれも書面により作成されたものとする。,売主Ａと買主Ｂが土地の譲渡契約書を3 通作成し、Ａ、Ｂ及び仲介人Ｃがそれぞれ1 通ず つ保存する場合、当該契約書3 通には印紙税が課される。,"一の契約書に土地の譲渡契約（譲渡金額5,000 万円）と建物の建築請負契約（請負金額 6,000 万円）をそれぞれ区分して記載した場合、印紙税の課税標準となる当該契約書の記載 金額は1 億1,000 万円である。","「Ｄの所有する甲土地（時価2,000 万円）をＥに贈与する」旨を記載した贈与契約書を作 成した場合、印紙税の課税標準となる当該契約書の記載金額は、2,000 万円である。","当初作成の「土地を1 億円で譲渡する」旨を記載した土地譲渡契約書の契約金額を変更す るために作成する契約書で、「当初の契約書の契約金額を1,000 万円減額し、9,000 万円と する」旨を記載した変更契約書について、印紙税の課税標準となる当該変更契約書の記載金 額は、1,000 万円である。",0,公式解答: 1,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q24,税・その他,R5,2,不動産取得税に関する次の記述のうち、正しいものはどれか。,不動産取得税の徴収については、特別徴収の方法によることができる。,不動産取得税は、目的税である。,不動産取得税は、不動産の取得に対し、当該不動産所在の市町村及び特別区において、当 該不動産の取得者に課する。,不動産取得税は、市町村及び特別区に対して、課することができない。,3,公式解答: 4,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q25,税・その他,R5,2,不動産の鑑定評価に関する次の記述のうち、不動産鑑定評価基準によれば、正し いものはどれか。,原価法は、価格時点における対象不動産の収益価格を求め、この収益価格について減価修 正を行って対象不動産の比準価格を求める手法である。,原価法は、対象不動産が建物又は建物及びその敷地である場合には適用することができる が、対象不動産が土地のみである場合においては、いかなる場合も適用することができない。,取引事例比較法における取引事例が、特殊事情のある事例である場合、その具体的な状況 が判明し、事情補正できるものであっても採用することは許されない。,取引事例比較法は、近隣地域若しくは同一需給圏内の類似地域等において対象不動産と類 似の不動産の取引が行われている場合又は同一需給圏内の代替競争不動産の取引が行われて いる場合に有効である。,3,公式解答: 4,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q26,宅建業法,R5,2,宅地建物取引業法第37 条の規定により交付すべき書面に記載すべき事項を電磁 的方法により提供すること（以下この問において「37 条書面の電磁的方法による提供」とい う。）に関する次の記述のうち、正しいものはいくつあるか。 ア 宅地建物取引業者が自ら売主として締結する売買契約において、当該契約の相手方から宅 地建物取引業法施行令第3 条の4 第1 項に規定する承諾を得なければ、37 条書面の電磁的 方法による提供をすることができない。 イ 宅地建物取引業者が媒介業者として関与する売買契約について、宅地建物取引業法施行令 第3 条の4 第1 項に規定する承諾を取得するための通知の中に宅地建物取引士を明示してお けば、37 条書面の電磁的方法による提供において提供に係る宅地建物取引士を明示する必 要はない。 ウ 宅地建物取引業者が自ら売主として締結する売買契約において、37 条書面の電磁的方法 による提供を行う場合、当該提供されたファイルへの記録を取引の相手方が出力することに より書面を作成できるものでなければならない。 エ 宅地建物取引業者が媒介業者として関与する建物賃貸借契約について、37 条書面の電磁 的方法による提供を行う場合、当該提供するファイルに記録された記載事項について、改変 が行われていないかどうかを確認することができる措置を講じなければならない。,一つ,二つ,三つ,四つ,2,公式解答: 3,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q27,宅建業法,R5,2,宅地建物取引業法第34 条の2 第1 項第4 号に規定する建物状況調査（以下この 問において「建物状況調査」という。）に関する次の記述のうち、誤っているものはどれか。,建物状況調査とは、建物の構造耐力上主要な部分又は雨水の浸入を防止する部分として国 土交通省令で定めるものの状況の調査であって、経年変化その他の建物に生じる事象に関す る知識及び能力を有する者として国土交通省令で定める者が実施するものをいう。,宅地建物取引業者が建物状況調査を実施する者のあっせんを行う場合、建物状況調査を実 施する者は建築士法第2 条第1 項に規定する建築士であって国土交通大臣が定める講習を修 了した者でなければならない。,既存住宅の売買の媒介を行う宅地建物取引業者が売主に対して建物状況調査を実施する者 のあっせんを行った場合、宅地建物取引業者は売主から報酬とは別にあっせんに係る料金を 受領することはできない。,既存住宅の貸借の媒介を行う宅地建物取引業者は、宅地建物取引業法第37 条の規定によ り交付すべき書面に建物の構造耐力上主要な部分等の状況について当事者の双方が確認した 事項を記載しなければならない。,3,公式解答: 4,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q28,宅建業法,R5,2,宅地建物取引業者Ａの業務に関する次の記述のうち、宅地建物取引業法（以下こ の問において「法」という。）の規定に違反するものはいくつあるか。 ア Ａの従業員Ｂが、Ｃが所有する戸建住宅の買取りを目的とした訪問勧誘をＣに対して行っ たところ、Ｃから「契約の意思がないので今後勧誘に来ないでほしい」と言われたことから、 後日、Ａは、別の従業員Ｄに同じ目的で訪問勧誘を行わせて、当該勧誘を継続した。 イ Ａの従業員Ｅは、Ｆが所有する戸建住宅の買取りを目的とした電話勧誘をＦに対して行っ た際に、不実のことと認識しながら「今後5 年以内にこの一帯は再開発されるので、急いで 売却した方がよい。」と説明した。 ウ Ａの従業員Ｇは、Ｈが所有する戸建住宅の買取りを目的とした電話勧誘をＨに対して行お うと考え、23 時頃にＨの自宅に電話をかけ、勧誘を行い、Ｈの私生活の平穏を害し、Ｈを 困惑させた。 エ Ａは、Ｊとの間でＪが所有する戸建住宅を買い取る売買契約を締結し、法第37 条の規定 に基づく書面をＪに交付したが、Ａの宅地建物取引士に、当該書面に記名のみさせ、押印さ せることを省略した。,一つ,二つ,三つ,四つ,2,公式解答: 3,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
R5QESTIONANSWER_Q29,宅建業法,R5,2,宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記 述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,宅地建物取引業者Ａ社の使用人であって、Ａ社の宅地建物取引業を行う支店の代表者であ るものが、道路交通法の規定に違反したことにより懲役の刑に処せられたとしても、Ａ社の 免許は取り消されることはない。,宅地建物取引業者Ｂ社の取締役が、所得税法の規定に違反したことにより罰金の刑に処せ られたとしても、Ｂ社の免許は取り消されることはない。,宅地建物取引業者である個人Ｃが、宅地建物取引業法の規定に違反したことにより罰金の 刑に処せられたとしても、Ｃの免許は取り消されることはない。,宅地建物取引業者Ｄ社の非常勤の取締役が、刑法第222 条（脅迫）の罪を犯したことによ り罰金の刑に処せられたとしても、Ｄ社の免許は取り消されることはない。,1,公式解答: 2,https://www.retio.or.jp/wp-content/uploads/2025/03/R5_qestion_answer　.pdf
